route_id,trip_id
23877,6314611
23877,6314610
23877,6314609
23877,6314607
23877,6314608
23877,6314606
23877,6314604
23877,6314605
23877,6314603
23877,6314602
23877,6314601
23877,6314600
23877,6314599
23877,6314598
23877,6314597
23877,6314596
23877,6314595
23877,6314594
23877,6314593
23877,6314592
23877,6314591
23877,6314590
23877,6314589
23877,6314588
23877,6314587
23877,6314586
23877,6314585
23877,6314584
23877,6314583
23877,6314582
23877,6314581
23877,6314580
23877,6314579
23877,6314578
23877,6314577
23877,6314576
23877,6314575
23877,6314574
23877,6314573
23877,6314572
23877,6314571
23877,6314570
23877,6314569
23877,6314568
23877,6314567
23877,6314566
23877,6314565
23877,6314564
23877,6314563
23877,6314562
23877,6314561
23877,6314694
23877,6314560
23877,6314693
23877,6314692
23877,6314690
23878,6315190
23878,6315191
23878,6315194
23878,6315179
23878,6315192
23878,6315133
23878,6315111
23878,6315131
23878,6315149
23878,6315150
23878,6315151
23878,6315152
23878,6315160
23878,6315166
23878,6315112
23878,6315153
23878,6315123
23878,6315124
23878,6315162
23878,6315163
23878,6315164
23878,6315165
23878,6315113
23878,6315114
23878,6315178
23878,6315156
23878,6315125
23878,6315148
23878,6315130
23878,6315157
23878,6315161
23878,6315120
23878,6315121
23878,6315142
23878,6315143
23878,6315144
23878,6315154
23878,6315176
23878,6315177
23878,6315193
23878,6315155
23878,6315134
23878,6315135
23878,6315136
23878,6315173
23878,6315137
23878,6315138
23878,6315139
23878,6315141
23878,6315171
23878,6315158
23878,6315118
23878,6315170
23878,6315172
23878,6315174
23878,6315175
23878,6315145
23878,6315126
23878,6315169
23878,6315132
23878,6315168
23878,6315140
23878,6315147
23878,6315122
23878,6315128
23878,6315180
23878,6315129
23878,6315181
23878,6315167
23878,6315182
23878,6315146
23878,6315183
23878,6315115
23878,6315184
23878,6315116
23878,6315185
23878,6315117
23878,6315186
23878,6315127
23878,6315187
23878,6315159
23878,6315188
23878,6315119
23878,6315189
23878,6315247
23878,6315200
23878,6315201
23878,6315245
23878,6315233
23878,6315231
23878,6315232
23878,6315241
23878,6315237
23878,6315204
23878,6315198
23878,6315211
23878,6315205
23878,6315206
23878,6315207
23878,6315209
23878,6315249
23878,6315250
23878,6315251
23878,6315252
23878,6315202
23878,6315246
23878,6315213
23878,6315236
23878,6315214
23878,6315228
23878,6315229
23878,6315255
23878,6315238
23878,6315220
23878,6315230
23878,6315240
23878,6315254
23878,6315203
23878,6315242
23878,6315243
23878,6315195
23878,6315196
23878,6315257
23878,6315223
23878,6315224
23878,6315256
23878,6315253
23878,6315218
23878,6315234
23878,6315215
23878,6315217
23878,6315239
23878,6315273
23878,6315219
23878,6315197
23878,6315274
23878,6315258
23878,6315275
23878,6315259
23878,6315208
23878,6315248
23878,6315222
23878,6315221
